Jaar;Aantal inwoners;;
2005;39.288;;
2006;39.412;;
2007;39.585;;
2008;39.654;;
2009;39.742;;
2010;39.998;;
2011;40.201;;
2012;40.388;;
2013;40.737;;
2014;41.034;;
2015;41.243;;
2016;41.450;;
2017;42024;;
